date,hour,day,post_type,category,traffic_source,cta,likes,comments,shares,saves,impressions,followers_gained,caption_length,hashtags
2024-11-30,6,Saturday,reel,Technology,Home Feed,1,194,5,7,34,6230,899,100,7
2025-08-15,15,Friday,image,Fitness,Hashtags,1,449,10,21,68,8268,805,122,5
2025-09-11,16,Thursday,reel,Beauty,Reels Feed,0,114,2,1,22,2616,758,115,8
2025-09-18,3,Thursday,carousel,Music,External,0,91,0,7,0,3171,402,115,7
2025-03-21,9,Friday,reel,Technology,Profile,0,154,8,5,21,8503,155,112,9
2025-05-06,8,Tuesday,carousel,Photography,Reels Feed,1,149,3,4,23,3472,904,111,5
2025-09-21,9,Sunday,carousel,Food,Explore,1,371,9,14,54,7671,701,132,8
2025-01-06,18,Monday,reel,Technology,Profile,0,18,1,0,3,1357,894,118,8
2025-10-13,5,Monday,reel,Beauty,Reels Feed,0,132,4,7,17,2436,739,112,7
2025-03-10,11,Monday,reel,Music,Hashtags,0,101,2,3,12,2942,611,114,6
2025-04-09,10,Wednesday,reel,Fitness,Home Feed,0,418,11,21,60,20978,390,110,6
2025-05-03,14,Saturday,carousel,Beauty,Hashtags,1,49,6,2,3,1098,240,121,8
2025-08-23,19,Saturday,image,Beauty,Explore,0,111,1,7,24,6329,493,116,8
2025-04-13,13,Sunday,image,Food,Reels Feed,1,183,6,10,21,6107,792,123,9
2025-03-16,11,Sunday,reel,Lifestyle,Home Feed,1,333,10,15,48,6377,808,124,6
2024-12-06,18,Friday,reel,Music,Hashtags,1,271,8,13,47,8127,752,123,8
2025-07-11,20,Friday,image,Travel,External,0,138,1,4,18,5263,920,133,8
2025-01-08,11,Wednesday,carousel,Beauty,Home Feed,0,261,5,16,35,9464,923,119,14
2025-06-20,6,Friday,image,Lifestyle,External,0,120,9,5,24,11264,892,107,4
2025-06-13,4,Friday,carousel,Travel,External,0,39,0,2,7,4755,216,135,2
2025-02-11,14,Tuesday,image,Music,External,0,303,0,12,52,5435,87,115,11
2025-10-04,15,Saturday,reel,Fashion,Reels Feed,0,444,17,24,63,13354,742,129,12
2025-02-26,10,Wednesday,carousel,Photography,Home Feed,0,1946,52,96,264,45796,311,103,6
2025-03-20,19,Thursday,image,Lifestyle,Profile,1,78,2,2,11,6214,64,111,8
2025-05-08,16,Thursday,carousel,Comedy,Profile,1,68,2,2,7,4454,394,109,8
2025-02-18,5,Tuesday,carousel,Fashion,Hashtags,0,392,9,27,51,6583,243,128,10
2024-11-29,19,Friday,carousel,Photography,Reels Feed,0,843,24,42,117,26749,925,133,4
2025-10-19,21,Sunday,carousel,Food,Profile,0,170,5,8,29,6834,559,117,6
2025-08-01,5,Friday,reel,Technology,Explore,1,76,2,3,3,4679,382,118,13
2025-07-26,11,Saturday,carousel,Fitness,External,1,0,5,18,52,10172,286,147,12
2025-04-25,19,Friday,reel,Comedy,Home Feed,0,65,0,10,11,2211,419,106,5
2025-05-25,7,Sunday,image,Food,Profile,1,253,0,16,36,7689,114,101,4
2025-04-17,19,Thursday,reel,Music,Home Feed,0,56,4,2,10,4286,882,126,8
2025-09-02,4,Tuesday,carousel,Food,Explore,1,836,21,40,132,19638,888,123,9
2025-07-14,20,Monday,image,Technology,External,1,104,3,5,17,2340,916,95,6
2025-02-02,10,Sunday,reel,Music,Explore,0,607,22,31,78,14021,861,116,8
